,title
MINT00666,Covering letter from Treasury referring MINT00665 (Mint 19/2/367) to Newton.
MINT01074,Copy of note concerning payments to Sweden and dispute over the value of imperial dollars
MINT01006,"Letter concerning the exchange of currency with Sweden, with an extract from a relevant treaty"
MINT01160,Copy of letter concerning the petition of the widow of John Roos
MINT01007,Letter concerning the petition of the widow of John Roos
MINT01161,Copy of reference for petition and bill concerning several public seals
MINT01010,Treasury referral of Lauderdale's memorial concerning Mint funds
MINT01008,Memorandum on the Edinburgh Mint
MINT01209,Warrant concerning the fishing of wrecks
MINT01012,Account of the moneys from fishing a wreck near the Isle of Mayo
MINT01011,Report of the moneys from fishing a wreck near the Isle of Mayo
MINT01013,"""Sir Isaac Newton's Report upon Mr Gerard's Bill for Engraving Seals"""
MINT01014,Letter concerning a potential raise to the salaries of the clerks of the Mint
MINT01015,Request for a Trial of the Pix
MINT01017,"Memorial of Charles Earl of Lauderdale, with Treasury referral"
MINT01018,"Memorial of John Montgomerie, with Treasury referral"
MINT01016,"""Report of Sir I. Newton upon the Memorials of the General and Master of his Majesty's Mint at Edinburgh"""
MINT01022,Letter concerning a potential raise of the salary of the Porter of the Mint
MINT01019,Letter concerning the trial of copper pix
MINT01020,"""Report on the Petition of John Walker, creditor of Justus Brandshagen for £10."""
MINT01021,"""Report of Sir Isaac Newton upon Mr Girard's bill for Engraving a Seal for the Bahama Islands"""
NATP00279,"Letter from Newton to Edmund Halley, dated 3 December 1724"
MINT01077,Copy of report on the assay of several new Portugal gold coins
MINT01076,Copy of referral of report on the assay of several new Portugal gold coins
MINT01078,Copy of letter recommending John Rollos for the newly vacant position of Assistant to the Chief Engraver
NATP00027,An Instrument for observing the Moon's Distance from the Fixt Stars at Sea
